id,kind,question,proposed_gold_doc_ids,human_gold_doc_ids,is_answerable,reviewer,review_notes
v2_181,multi_constraint,预算不超过 14.74，想买 StarTech 的数码，关键词 StarTech.com 25ft,product:P01646,,,,
v2_182,multi_constraint,预算不超过 4.99，想买 Epic Designs 的厨房，关键词 Epic Designs,product:P04703,,,,
v2_183,multi_constraint,预算不超过 5.98，想买 Assurant 的数码，关键词 Assurant 2-Year,product:P01992,,,,
v2_184,multi_constraint,预算不超过 10.95，想买 SignJoker 的厨房，关键词 SignJoker Dragon,product:P03923,,,,
v2_185,multi_constraint,预算不超过 31.45，想买 Ambesonne 的厨房，关键词 Ambesonne Longhorn,product:P02682,,,,
v2_186,multi_constraint,预算不超过 35.69，想买 HOMEIDEAS 的厨房，关键词 HOMEIDEAS Pieces,product:P03264,,,,
v2_187,multi_constraint,预算不超过 45.1，想买 Seagate 的数码，关键词 Seagate ST3146855SS,product:P01082,,,,
v2_188,multi_constraint,预算不超过 27.29，想买 VANILLACHOCOLATE 的厨房，关键词 VANILLACHOCOLATE Heart,product:P03953,,,,
v2_189,multi_constraint,预算不超过 23.09，想买 SMYRNA TURKISH COTTON 的厨房，关键词 Smyrna Original,product:P03937,,,,
v2_190,multi_constraint,预算不超过 16.99，想买 fhong 的数码，关键词 Wireless Mouse,product:P01431,,,,
v2_191,multi_constraint,预算不超过 30.31，想买 Amazon Basics 的厨房，关键词 Amazon Basics,product:P04346,,,,
v2_192,multi_constraint,预算不超过 19.84，想买 wanmanee 的厨房，关键词 wanmanee Fashion,product:P04669,,,,
v2_193,multi_constraint,预算不超过 15.99，想买 DecalGirl 的数码，关键词 Kindle Fire,product:P01033,,,,
v2_194,multi_constraint,预算不超过 24.14，想买 TARION 的数码，关键词 TARION Tabletop,product:P01848,,,,
v2_195,multi_constraint,预算不超过 48.29，想买 enuullao 的厨房，关键词 ENUULLAO Unicorn,product:P03015,,,,
v2_196,multi_constraint,预算不超过 57.74，想买 Amazon Basics 的厨房，关键词 Amazon Basics,product:P04314,,,,
v2_197,multi_constraint,预算不超过 1542.45，想买 HP 的数码，关键词 Windows Envy,product:P01842,,,,
v2_198,multi_constraint,预算不超过 9.91，想买 HQRP 的数码，关键词 HQRP Replacement,product:P00478,,,,
v2_199,multi_constraint,预算不超过 8.59，想买 imComor 的数码，关键词 Dell Latitude,product:P00501,,,,
v2_200,multi_constraint,预算不超过 8.99，想买 Prime Entertainment 的数码，关键词 Batman Clipt,product:P01297,,,,
v2_201,multi_constraint,预算不超过 177.26，想买 Chloé 的厨房，关键词 Chloe Lighting,product:P03985,,,,
v2_202,multi_constraint,预算不超过 397.95，想买 Howard Miller 的厨房，关键词 Howard Miller,product:P04577,,,,
v2_203,multi_constraint,预算不超过 17.99，想买 WINONLY 的数码，关键词 WINONLY Sleep,product:P01084,,,,
v2_204,multi_constraint,预算不超过 26.2，想买 DashaAlexander 的厨房，关键词 Sake Zero,product:P03683,,,,
